timestamp,actual_tao,forecast_tao,actual_kmb,forecast_kmb,hvdc_loading_pct,v_tao_pu,has_critical_warn,has_warning_warn,actual_violation,error_tao,ape_tao
2025-05-03 00:00:00,9.879,9.866491658100983,110.31,110.32537268279803,25.696989499990302,0.9653174885716166,True,True,False,0.012508341899016173,0.12661546600217255
2025-05-03 00:15:00,9.657,9.674945730523579,109.62,109.61536241242077,25.741691731302495,0.9674626123566936,True,True,False,-0.017945730523578618,0.18583131930201394
2025-05-03 00:30:00,9.512,9.531499365445129,109.82,109.81143849924956,25.74660681350334,0.9686895544526305,True,True,False,-0.019499365445128092,0.20499753390063433
2025-05-03 00:45:00,9.473,9.479702646945512,108.9,108.86043058335461,25.80897949287268,0.9697507212705766,True,True,False,-0.006702646945511148,0.070755272230926
2025-05-03 01:00:00,9.272,9.271279442456237,109.81,109.83385105796548,25.849532481830373,0.9715625062867324,True,True,False,0.0007205575437634337,0.007771328116763383
2025-05-03 01:15:00,9.515,9.515574704817077,110.13,110.1032423853837,25.79518079783467,0.9691202962998339,True,True,False,-0.0005747048170761104,0.006039987561451514
2025-05-03 01:30:00,9.688,9.70327706732061,110.67,110.44891735027058,25.76844549336873,0.9675711791645218,True,True,False,-0.01527706732060885,0.15769062040503495
2025-05-03 01:45:00,9.139,9.143077661705156,111.67,111.69657704503695,25.863668354378216,0.9726213129900483,True,True,False,-0.0040776617051569986,0.04461824817480221
2025-05-03 02:00:00,8.521,8.517675573728262,109.94,109.93288031530734,25.925130572857093,0.9778759203183146,True,True,False,0.0033244262717389006,0.03901450848301196
2025-05-03 02:15:00,8.157,8.157201844754933,111.65,111.63943342489303,25.971566569072635,0.9810105764587447,True,True,False,-0.00020184475493323362,0.0024744974216719855
2025-05-03 02:30:00,7.791,7.7954261390602175,109.34,109.34223954197512,25.99541419735226,0.9836186322215903,True,True,False,-0.00442613906021716,0.056810923559697954
2025-05-03 02:45:00,9.509,9.507178000514486,110.5,110.49385372504535,25.752180545758783,0.9686183862716873,True,True,False,0.001821999485514425,0.01916078960561937
2025-05-03 03:00:00,8.859,8.864845376357103,109.59,109.596129370654,25.863250389591546,0.9745586937888626,True,True,False,-0.005845376357102694,0.06598234959368392
2025-05-03 03:15:00,8.006,8.023589764811923,109.88,109.86872054149032,25.983696164450098,0.981865011861945,True,True,False,-0.017589764811923203,0.2197072794148448
2025-05-03 03:30:00,8.005,8.023834577943386,111.7,111.67570978662741,25.956663471919626,0.9815618305254581,True,True,False,-0.01883457794338561,0.23528517076648456
2025-05-03 03:45:00,9.283,9.298609281892187,109.11,109.0614912901076,25.786496711866153,0.97046758172454,True,True,False,-0.015609281892187354,0.16814910993614612
2025-05-03 04:00:00,9.456,9.457247335774625,109.1,109.1196926072285,25.778421254047096,0.9692179047243318,True,True,False,-0.0012473357746252134,0.013190945149176382
2025-05-03 04:15:00,9.879,9.88812185090083,110.74,110.74548648018565,25.743750695852164,0.9658547766932126,True,True,False,-0.009121850900831063,0.09233577175420069
2025-05-03 04:30:00,9.782,9.79572118427549,110.51,110.48237899470077,25.749407229249204,0.9665131613561314,True,True,False,-0.013721184275489406,0.1402697225665757
2025-05-03 04:45:00,9.92,9.922065253699206,108.91,108.93187130189345,25.731034285286796,0.9652812197825673,True,True,False,-0.002065253699205627,0.020819089688747155
2025-05-03 05:00:00,9.049,9.07041071955247,109.99,109.95827394182646,25.801543668883053,0.9722563800098883,True,True,False,-0.021410719552470425,0.23660868083555703
2025-05-03 05:15:00,10.104,10.122345001772644,109.93,109.9401903016286,25.698489824803744,0.9635984288189723,True,True,False,-0.01834500177264431,0.18156177508400764
2025-05-03 05:30:00,9.213,9.19819276935161,109.96,109.65145254908927,25.84022511408186,0.9717513365683786,True,True,False,0.014807230648388625,0.16072105321085986
2025-05-03 05:45:00,8.87,8.872740222807305,109.75,109.73225946710902,25.907477149853676,0.9749758702525859,True,True,False,-0.0027402228073061252,0.03089315450075321
2025-05-03 06:00:00,7.947,7.9650435550281875,110.83,110.87608472365292,26.027892044950228,0.9826735503129769,True,True,False,-0.01804355502818744,0.22704863477390935
2025-05-03 06:15:00,8.551,8.54290460793641,108.78,108.8151171514133,25.96154439153235,0.9777848214554432,True,True,False,0.008095392063589557,0.0946718752674818
2025-05-03 06:30:00,9.071,9.062916633342173,110.01,110.0106330721061,25.94490780819771,0.9740966724406863,True,True,False,0.00808336665782683,0.08911218883161294
2025-05-03 06:45:00,9.26,9.271450658348027,111.1,111.12304888323989,25.854172214418174,0.9716261674197179,True,True,False,-0.011450658348026721,0.12365721744774297
2025-05-03 07:00:00,9.608,9.614464131248074,110.28,110.28669058349813,25.80796189194735,0.9686079631173103,True,True,False,-0.006464131248073102,0.0672786349015949
2025-05-03 07:15:00,10.067,10.04233788571872,108.91,108.89501714500848,25.75565702861016,0.9646585554779137,True,True,False,0.024662114281280623,0.24497977805485885
2025-05-03 07:30:00,10.155,10.157737364555715,110.94,110.94542402183318,25.732670552584167,0.9636553404397192,True,True,False,-0.0027373645557151605,0.026955830162674322
